ImageID,Name,Status Completed (Y/N)
ami-4ccda25a,EAST_PA_PS1014_CSSV1_HAVERFORD_TOWNSHIP_01172017_120_SMALL_,
ami-4e1e0e31,CANADA_ON_PS1105_TRILLIUM_LAKELANDS_07302018_PSSR188150_160_MEDIUM_,
ami-4e28f158,EAST_MA_PS1011_CSS_NORTHSHORE_12122016_160_MEDIUM_,
ami-4e9adf58,EAST_ME_PS1014_CSS_AUBURN_03022017_120_SMALL_,
ami-4f1c4b59,EAST_GA_PS1014_WALKERCOUNTY_05122017_PSSR152200_120_SMALL_,
ami-4f650558,WEST_CA_PS0924_SANDIEGO_20150724_LARGE_,
ami-4f8ca358,SCRUB_PS10_v2_LARGE_,
ami-5002052f,EAST_TN_PS1201_HAMBLEN_08092017_160_MEDIUM_,
ami-509c962b,WEST_TX_PS11_CSS_UPLIFT_EDU_08142017_160_MEDIUM_,
ami-50a4122f,WEST_ID_PS11043_CSS_FREMONT_COUNTY_03232018_160_MEDIUM_,
ami-50fda846,WEST_NV_PS1014_CSSV1_EUREKA_COUNTY_02022017_160_MEDIUM_,
ami-5219b028,PM_APPLEGROVE_17-18_PS1103_MS_SALES_DEMO_120_LARGE_,
ami-52340b45,EAST_NY_PS1004_CSS_JOHNSON_CITY_08102016_120_SMALL_,
ami-52456f29,EAST_GA_PS1014_WALKERCOUNTY_05122017_PSSR152200V2_120_SMALL_,
ami-52583945,BASE_01_SMALL_SSL_Oracle83_120GB_v7.2,
ami-52686c44,WEST_CO_PS11_CSS_GARFIELD_11042016_160_MEDIUM_,
ami-532bf42e,COMMON_MI_PS1104_LAKEORION_03262018_EDFI_PUBLISHED_160_MEDIUM_,
ami-5344b22e,WEST_OR_PS1002_Immun_TestEnv_03022018,
ami-53f0cb44,SCRUB_PS10_X_LARGE_v2,
ami-5407ae2e,PM_APPLEGROVE_17-18_PS1103_NY_SALES_DEMO_120_LARGE_,
ami-54b14842,EAST_NY_PS1000_CSSV1_NASSAU_COUNTY_01252017_120_SMALL_,
ami-55740b42,AUTOMATION_EAST_CT_PS1002_NEWHAVEN_04012015_120_SMALL_,
ami-5579f843,CENTRAL_ND_PS10041_CSS_160_MEDIUM_,
ami-55ac5728,COMMON_NE_PS1104_SOUTH_SIOUX_CITY_03082018_EDFI_PUBLISHED_120_SMALL_,
ami-56609e3b,CT_PS9_EASTERN_06032016_MEDIUM,
ami-582a8322,PM_APPLEGROVE_17-18_PS1103_CO_SALES_DEMO_120_LARGE_,
ami-58d2a94f,TALLAC_DEC2016_TX_IDEA_150_MEDIUM_,
ami-59edb04f,EAST_GA_PS1014_NODISTRICT_06012017_PSSR144924_120_SMALL_,
ami-5a01ae20,CANADA_ON_PS1012_SIMCOE_MUSKOKA_CATH_10302017_PSSR165502_160_MEDIUM_,
ami-5a8a7220,COMMON_MI_PS11023_LAKEORION_10072015_160_MEDIUM_,
ami-5a8ba74d,SCRUB_PS10_LARGE_,
ami-5ac7384c,AUTOMATION_WEST_ID_1002_CSS_TWINFALLS_02122015_120_SMALL_,
ami-5c939a4b,AUTOMATION_EAST_SC_PS1002_CSS_GREENVILLE_11172016_V2_120_SMALL_,
ami-5cc42021,EAST_IN_PS11041_CSS_PLAINFIELD_01252018_120_SMALL_,
ami-5d32bc22,Temp_Jonathan_Richter_120_SMALL_,
ami-5d5c7c26,WEST_CA_PS1014_TEMPLETON-CASEMIS_120_SMALL_,
ami-5d81884a,AUTOMATION_EAST_MA_PS1002_CSS_LONGMEADOW_10262015_V2_120_SMALL_,
ami-5d843a4b,CENTRAL_IL_PS1011_CSSV1_OREGON_COMMUNITY_01192017_160_MEDIUM_,
ami-5e2c8524,PM_APPLEGROVE_17-18_PS1103_AZ_SALES_DEMO_120_LARGE_,
ami-5e3baf49,CENTRAL_MO_PS0924_CLAYTON_20160725_SMALL_,
ami-5e98df21,WEST_AZ_PS1201_SUNNYSIDE_20180205_V2_220_LARGE_,
ami-5e9dd949,AUTOMATION_CENTRAL_IL_PS1002_MANNHEIM_05032016_120_SMALL_,
ami-5f2d4e20,PM_APPLEGROVE_17-18_PS1103_NE_SALES_DEMO_IM_IMM_CODES_120_LARGE_,
ami-5f9f2a25,SkinnySped_110317,
ami-6061571f,WEST_CA_PS12_CSS_FOLSOM_MIGRATED_07112018_220_LARGE_,
ami-6105481e,EAST_NC_PS1105_NEWTON_CONOVER_06072018_120_SMALL_,
ami-61df9f77,WEST_ID_PS1014_CSS_SUGAR_SALEM_10282015_MEDIUM_160_,
ami-62686c74,WEST_CA_PS11_CSS_MANHATTAN_BEACH_06032015_220_LARGE_,
ami-628cf875,COMMON_SIF_BASE_05_Oracle10_V2_160_MEDIUM_,
ami-62f5af18,EAST_IL_PS11033_MANNHEIM_20180110_160_MEDIUM_,
ami-63471319,CANADA_MB_PS11032_SWANVALLEY_01022018_PSSR169985_120_SMALL_,
ami-63cfad19,CANADA_ON_PS11023_DURHAM_12072017_SUMMER_PSSR166670_220_LARGE_,
ami-649e9773,AUTOMATION_CENTRAL_OK_PS1002_CSS_MIAMI_11062015_V2_120_SMALL_,
ami-64cccb73,EAST_ME_PS0924_MADWASKA_20140910_V3_120_SMALL_,
ami-64d21d19,WEST_WA_PS1104_CSSV1_KENNEWICK_BACKUP_02012017_160_MEDIUM_,
ami-65010b1f,EAST_NC_z(DO_NOT_USE)_MASSIVE_PS10142_NCDPI_CARY_01022018_t2.2xlarge_V2_1200_LARGE_,
